Rank,Game,Platform,Publisher,Total_Sales,Na_Sales,Pal_Sales,Japan_Sales,Other_Sales,Year
156,FIFA 15,PS4,EA Sports  ,6.32,0.83,4.49,0.05,0.94,2014
157,Super Mario Sunshine,GC,Nintendo  ,6.31,4.01,1.26,0.87,0.17,2002
158,Street Fighter II: The World Warrior,SNES,Capcom  ,6.3,2.47,0.83,2.87,0.12,1992
159,The Last of Us,PS3,Sony Computer Entertainment America  ,6.27,2.41,2.57,0.29,0.99,2013
160,Driver,PS,GT Interactive  ,6.27,3.11,2.8,0.02,0.33,1999
161,Call of Duty: WWII,XOne,Activision  ,6.23,3.75,1.91,0.0,0.57,2017
162,Kinect Sports,X360,Microsoft Game Studios  ,6.23,3.92,1.73,0.03,0.55,2010
163,Gears of War 3,X360,Microsoft Studios  ,6.22,4.05,1.59,0.07,0.5,2011
164,God of War (2018),PS4,Sony Interactive Entertainment  ,6.15,2.83,2.17,0.13,1.02,2018
165,Gears of War,X360,Microsoft Game Studios  ,6.09,3.54,1.88,0.07,0.6,2006
166,Minecraft,PS3,Sony Computer Entertainment America  ,6.05,2.21,2.86,0.0,0.99,2014
167,Metal Gear Solid 2: Sons of Liberty,PS2,Konami  ,6.05,2.45,2.01,0.87,0.72,2001
168,Sonic the Hedgehog 2,GEN,Sega  ,6.03,4.47,1.2,0.16,0.19,1992
169,Metal Gear Solid,PS,Konami  ,6.03,3.18,1.83,0.78,0.24,1998
170,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami  ,6.0,2.63,1.72,0.83,0.81,2008
171,Final Fantasy XII,PS2,Square Enix  ,5.95,1.88,0.0,2.33,1.74,2006
172,Tomodachi Life,3DS,Nintendo  ,5.88,0.97,2.64,1.98,0.28,2014
173,LittleBigPlanet,PS3,Sony Computer Entertainment  ,5.85,2.8,2.01,0.17,0.87,2008
174,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment  ,5.82,2.2,2.43,0.28,0.92,2017
175,Resident Evil 2,PS,Capcom  ,5.82,1.88,1.47,2.02,0.45,1998
176,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo  ,5.79,0.63,0.67,4.35,0.15,2010
177,Red Dead Redemption 2,XOne,Rockstar Games  ,5.77,3.76,1.47,0.0,0.54,2018
178,Destiny,PS4,Activision  ,5.76,2.53,2.13,0.16,0.94,2014
179,Tekken 2,PS,Namco  ,5.74,2.26,1.89,1.36,0.23,1996
180,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment  ,5.7,2.55,2.11,0.1,0.94,2015
181,LEGO Star Wars: The Complete Saga,Wii,LucasArts  ,5.66,3.57,1.57,0.0,0.52,2007
182,Cooking Mama,DS,Majesco  ,5.66,3.09,1.92,0.07,0.58,2006
183,New Super Mario Bros. U,WiiU,Nintendo  ,5.62,2.3,1.63,1.32,0.38,2012
184,Tetris,NES,Nintendo  ,5.58,2.97,0.69,1.81,0.11,1989
185,Assassin's Creed II,PS3,Ubisoft  ,5.57,2.54,1.95,0.21,0.86,2009
186,Super Smash Bros.,N64,Nintendo  ,5.55,2.95,0.6,1.97,0.04,1999
187,Assassin's Creed,X360,Ubisoft  ,5.55,3.28,1.64,0.07,0.56,2007
188,Batman: Arkham City,PS3,Warner Bros. Interactive  ,5.54,2.72,1.89,0.11,0.82,2011
189,Forza Motorsport 3,X360,Microsoft Game Studios  ,5.5,2.99,1.9,0.1,0.51,2009
190,Monster Hunter Freedom Unite,PSP,Capcom  ,5.5,0.47,0.57,4.13,0.34,2009
191,Super Mario Advance,GBA,Nintendo  ,5.49,3.14,1.24,0.91,0.2,2001
192,Mario Kart: Super Circuit,GBA,Nintendo  ,5.47,2.62,1.64,0.99,0.23,2001
193,Super Mario World: Super Mario Advance 2,GBA,Nintendo  ,5.46,3.21,1.11,0.95,0.2,2002
194,Pokémon Stadium,N64,Nintendo  ,5.45,3.18,1.24,0.94,0.09,2000
195,Luigi's Mansion: Dark Moon,3DS,Nintendo  ,5.44,2.03,1.88,1.17,0.36,2013
196,Minecraft,XOne,Microsoft Studios  ,5.43,3.23,1.71,0.0,0.49,2014
197,Call of Duty: World at War,PS3,Activision  ,5.43,2.75,1.84,0.0,0.84,2008
198,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive  ,5.42,2.07,2.29,0.24,0.82,2001
199,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment  ,5.39,1.48,2.82,0.28,0.81,2015
200,Final Fantasy XIII,PS3,Square Enix  ,5.35,1.75,1.23,1.87,0.51,2010
201,Dr. Mario,GB,Nintendo  ,5.34,2.18,0.96,2.0,0.2,1990
202,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo  ,5.33,2.5,1.8,0.65,0.39,2011
203,Assassin's Creed III,X360,Ubisoft  ,5.31,3.13,1.71,0.03,0.45,2012
204,Pokémon Pinball,GBC,Nintendo  ,5.31,3.02,1.12,1.01,0.16,1999
205,Assassin's Creed II,X360,Ubisoft  ,5.3,3.14,1.55,0.08,0.52,2009
206,Final Fantasy IX,PS,Square  ,5.3,1.62,0.77,2.78,0.14,2000
207,Final Fantasy X-2,PS2,Square Enix  ,5.29,1.92,1.08,2.11,0.17,2003
208,Donkey Kong 64,N64,Nintendo  ,5.27,3.33,0.79,1.09,0.06,1999
209,Diablo III,PC,Blizzard Entertainment  ,5.26,2.5,2.23,0.0,0.53,2012
210,Tomb Raider II,PS,Eidos Interactive  ,5.24,2.3,2.46,0.2,0.28,1997
211,Madden NFL 2004,PS2,EA Sports  ,5.23,4.26,0.26,0.01,0.71,2003
212,Call of Duty: Advanced Warfare,XOne,Activision  ,5.22,3.25,1.49,0.01,0.48,2014
213,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix  ,5.21,0.65,0.75,3.61,0.2,2005
214,Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo  ,5.2,2.93,1.25,0.83,0.2,2003
215,Professor Layton and the Curious Village,DS,Nintendo  ,5.2,1.21,2.44,1.03,0.51,2008
216,Super Mario Land 3: Wario Land,GB,Nintendo  ,5.19,2.49,0.98,1.57,0.15,1994
217,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo  ,5.15,2.1,0.74,2.2,0.11,1995
218,Medal of Honor: Rising Sun,PS2,Electronic Arts  ,5.13,1.98,2.23,0.13,0.8,2003
219,Battlefield 1,XOne,Electronic Arts  ,5.13,3.37,1.26,0.02,0.48,2016
220,Kirby's Dream Land,GB,Nintendo  ,5.13,2.71,0.61,1.7,0.11,1992
221,Microsoft Flight Simulator,PC,Microsoft  ,5.12,3.22,1.69,0.0,0.2,1996
222,Guitar Hero II,PS2,RedOctane  ,5.12,3.81,0.63,0.0,0.68,2006
223,FIFA 13,X360,EA Sports  ,5.11,1.1,3.49,0.03,0.5,2012
224,Resident Evil 5,PS3,Capcom  ,5.1,1.96,1.42,1.08,0.64,2009
225,Fable III,X360,Microsoft Game Studios  ,5.1,3.59,1.09,0.05,0.37,2010
226,Mario & Sonic at the Olympic Games,DS,Sega  ,5.1,1.63,2.46,0.44,0.57,2008
227,The Legend of Zelda: Phantom Hourglass,DS,Nintendo  ,5.09,1.85,1.8,0.95,0.48,2007
228,Grand Theft Auto: Vice City Stories,PSP,Rockstar Games  ,5.08,1.7,2.03,0.16,1.19,2006
229,FIFA Soccer 11,PS3,EA Sports  ,5.08,0.61,3.28,0.06,1.12,2010
230,Super Mario Bros. Deluxe,GB,Nintendo  ,5.07,3.4,1.3,0.15,0.22,1999
231,Super Smash Bros. for Wii U,WiiU,Nintendo  ,5.07,2.68,1.15,0.85,0.39,2014
232,Final Fantasy XV,PS4,Square Enix  ,5.07,1.81,1.53,1.05,0.68,2016
233,Resident Evil,PS,Capcom  ,5.05,2.05,1.16,1.11,0.73,1996
234,Fallout 4,XOne,Bethesda Softworks  ,5.03,2.94,1.62,0.02,0.45,2015
235,Tony Hawk's Pro Skater,PS,Activision  ,5.02,3.42,1.38,0.02,0.2,1999
236,Super Mario 3D World,WiiU,Nintendo  ,5.01,2.31,1.54,0.79,0.37,2013
237,Warzone 2100,PS,Eidos Interactive  ,5.01,2.79,1.89,0.0,0.33,1999
238,Spyro the Dragon,PS,Sony Computer Entertainment  ,5.0,3.36,1.36,0.07,0.21,1998
239,Guitar Hero III: Legends of Rock,PS2,RedOctane  ,4.98,3.49,0.01,0.01,1.48,2007
240,Link's Crossbow Training,Wii,Nintendo  ,4.98,3.05,1.17,0.29,0.46,2007
241,Super Mario Party,NS,Nintendo  ,4.97,2.12,1.64,0.85,0.36,2018
242,Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment  ,4.97,2.32,1.73,0.12,0.8,2007
243,Fallout 3,X360,Bethesda Softworks  ,4.96,3.41,0.99,0.09,0.46,2008
244,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo  ,4.94,1.83,1.19,1.54,0.37,2008
245,Halo 5: Guardians,XOne,Microsoft Studios  ,4.92,2.94,1.49,0.03,0.45,2015
246,Madden NFL 06,PS2,EA Sports  ,4.91,3.98,0.26,0.01,0.66,2005
247,Diddy Kong Racing,N64,Nintendo  ,4.88,2.91,0.99,0.89,0.1,1997
248,Monster Hunter Freedom 3,PSP,Capcom  ,4.87,0.0,0.0,4.87,0.0,2010
249,StarCraft II: Wings of Liberty,PC,Blizzard Entertainment  ,4.86,2.6,1.7,0.0,0.56,2010
250,Call of Duty: Black Ops IIII,XOne,Activision  ,4.85,3.27,1.12,0.0,0.46,2018
251,Dr. Mario,NES,Nintendo  ,4.85,2.62,0.6,1.52,0.1,1990
252,Crash Bandicoot N. Sane Trilogy,PS4,Activision  ,4.83,1.09,2.92,0.07,0.74,2017
253,Assassin's Creed,PS3,Ubisoft  ,4.83,1.91,2.01,0.09,0.82,2007
254,God of War III,PS3,Sony Computer Entertainment  ,4.81,2.74,1.36,0.12,0.6,2010
255,Call of Duty: Infinite Warfare,XOne,Activision  ,4.79,2.91,1.44,0.0,0.44,2016
256,Crash Team Racing,PS,Sony Computer Entertainment  ,4.79,2.57,1.57,0.44,0.21,1999
257,LEGO Star Wars: The Complete Saga,DS,LucasArts  ,4.77,2.83,1.49,0.0,0.45,2007
258,Batman: Arkham City,X360,Warner Bros. Interactive  ,4.75,2.99,1.28,0.04,0.44,2011
259,Driver 2,PS,Atari  ,4.73,2.36,2.1,0.02,0.25,2000
260,Splatoon,WiiU,Nintendo  ,4.71,1.58,1.3,1.56,0.27,2015
261,The Simpsons: Hit & Run,PS2,VU Games  ,4.7,1.73,2.19,0.0,0.79,2003
262,Tony Hawk's Pro Skater 2,PS,Activision  ,4.68,3.05,1.41,0.02,0.2,2000
263,Monster Hunter: World,PS4,Capcom  ,4.67,1.03,1.06,2.17,0.42,2018
264,The Lord of the Rings: The Two Towers,PS2,Electronic Arts  ,4.67,1.94,1.95,0.08,0.7,2002
265,Animal Crossing: City Folk,Wii,Nintendo  ,4.65,1.84,1.13,1.32,0.36,2008
266,Tomb Raider,PS,Eidos Interactive  ,4.63,2.29,1.97,0.13,0.24,1996
267,Nintendo Land,WiiU,Nintendo  ,4.63,2.52,1.23,0.51,0.38,2012
268,The Legend of Zelda: A Link to the Past,SNES,Nintendo  ,4.61,2.42,0.91,1.15,0.13,1992
269,Forza Motorsport 4,X360,Microsoft Studios  ,4.6,2.08,1.98,0.06,0.49,2011
270,The Legend of Zelda: The Wind Waker,GC,Nintendo  ,4.6,2.6,0.99,0.89,0.13,2003
271,Guitar Hero III: Legends of Rock,Wii,RedOctane  ,4.6,3.04,1.12,0.0,0.44,2007
272,FIFA 15,PS3,EA Sports  ,4.56,0.59,3.25,0.04,0.68,2014
273,Mario & Sonic at the Olympic Winter Games,Wii,Sega  ,4.54,1.87,1.97,0.22,0.48,2009
274,Overwatch,PS4,Blizzard Entertainment  ,4.54,1.84,1.8,0.17,0.73,2016
275,Madden NFL 2005,PS2,EA Sports  ,4.53,4.18,0.26,0.01,0.08,2004
276,Guitar Hero III: Legends of Rock,X360,RedOctane  ,4.53,3.19,0.91,0.01,0.42,2007
277,Star Wars Battlefront II (2017),PS4,Electronic Arts  ,4.53,1.7,1.99,0.12,0.73,2017
278,Pitfall!,2600,Activision  ,4.5,4.21,0.24,0.0,0.05,1982
279,Madden NFL 07,PS2,EA Sports  ,4.49,3.63,0.24,0.01,0.61,2006
